date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:37	1618/1618	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/home/rse/users-1e2c06fd2dbd60a5ac276599c70d4d8094ae25342eaa2a523ae9dc6500572c64.png	pro.tukkijamm.com/assets/home/rse/users-1e2c06fd2dbd60a5ac276599c70d4d8094ae25342eaa2a523ae9dc6500572c64.png	(from https://pro.tukkijamm.com/)
15:00:38	1384/1384	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/home/rse/trips-c7762dd37219308389d981b8618d8620f22d7dae8425063905e75c216821f6b1.png	pro.tukkijamm.com/assets/home/rse/trips-c7762dd37219308389d981b8618d8620f22d7dae8425063905e75c216821f6b1.png	(from https://pro.tukkijamm.com/)
15:00:39	1609/1609	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/home/rse/fleur-25b3b7291ec40367c194718a6a688cc404815de38d2ae8460e2510b3ec835d27.png	pro.tukkijamm.com/assets/home/rse/fleur-25b3b7291ec40367c194718a6a688cc404815de38d2ae8460e2510b3ec835d27.png	(from https://pro.tukkijamm.com/)
15:00:41	248670/248670	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/home/rse/rse-1a696653fbe0ffbdfdb718fff0ec17c9587f81e70e1b58a2af56e3339fe1cdf8.png	pro.tukkijamm.com/assets/home/rse/rse-1a696653fbe0ffbdfdb718fff0ec17c9587f81e70e1b58a2af56e3339fe1cdf8.png	(from https://pro.tukkijamm.com/)
15:00:42	332520/332520	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/home/rse/city-d3c235433b7577a5a3a2abd5e5e61a351edbd49a1f716b956d9810a77934b99d.png	pro.tukkijamm.com/assets/home/rse/city-d3c235433b7577a5a3a2abd5e5e61a351edbd49a1f716b956d9810a77934b99d.png	(from https://pro.tukkijamm.com/)
15:00:42	2205/2205	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/home/rse/save-313fb8166d1f96c8b55805506ee2235cf44ae9c18db996fddbab0fbdfaf20bc4.png	pro.tukkijamm.com/assets/home/rse/save-313fb8166d1f96c8b55805506ee2235cf44ae9c18db996fddbab0fbdfaf20bc4.png	(from https://pro.tukkijamm.com/)
15:00:44	584117/584117	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/home/rse/phone-9fdf33aefdafaf6073fa6ba428ae1de421622893d2b65b49b076a59f6bd65121.png	pro.tukkijamm.com/assets/home/rse/phone-9fdf33aefdafaf6073fa6ba428ae1de421622893d2b65b49b076a59f6bd65121.png	(from https://pro.tukkijamm.com/)
15:00:45	392853/392853	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/home/rse/contact-rides-4d04d0534c6a9fcbc37aa5246108ef44079fdceb3e3c32460892a7d0820ded60.svg	pro.tukkijamm.com/assets/home/rse/contact-rides-4d04d0534c6a9fcbc37aa5246108ef44079fdceb3e3c32460892a7d0820ded60.svg	(from https://pro.tukkijamm.com/)
15:00:45	1722/1722	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20May%202024%2015:00:45%20GMT	https://pro.tukkijamm.com/assets/actiontext.css	pro.tukkijamm.com/assets/actiontext.css	(from https://pro.tukkijamm.com/assets/application-7e0f966f1f55152ba88fb403ff8b77ba2d50a39682fbfc33af447db5bbc6bc84.css)
15:00:47	121340/121340	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/fonts/bootstrap-icons-cbdadea7b7c998d4578dcc107c4373b7448713c015c6f8f13e4125a90c4e3aa1.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	pro.tukkijamm.com/assets/fonts/bootstrap-icons-cbdadea7b7c998d4578dcc107c4373b7448713c015c6f8f13e4125a90c4e3aa1bf04.woff2	(from https://pro.tukkijamm.com/assets/application-7e0f966f1f55152ba88fb403ff8b77ba2d50a39682fbfc33af447db5bbc6bc84.css)
15:00:48	164360/164360	---MCZ	200	added ('OK')	application/font-woff	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/fonts/bootstrap-icons-1a51ee225426a539ddeada4fe9ed4fe0e1198565287269de541ab589c5355948.woff?24e3eb84d0bcaf83d77f904c78ac1f47	pro.tukkijamm.com/assets/fonts/bootstrap-icons-1a51ee225426a539ddeada4fe9ed4fe0e1198565287269de541ab589c5355948bf04.woff	(from https://pro.tukkijamm.com/assets/application-7e0f966f1f55152ba88fb403ff8b77ba2d50a39682fbfc33af447db5bbc6bc84.css)
15:00:49	107832/107832	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/demo/tkj_r2_left-956a5cef7d745b88d80b3e0011d203b6468c0cb27f8577531445a1fec36d79be.png	pro.tukkijamm.com/assets/demo/tkj_r2_left-956a5cef7d745b88d80b3e0011d203b6468c0cb27f8577531445a1fec36d79be.png	(from https://pro.tukkijamm.com/demos/new)
15:00:50	112224/112224	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/demo/tkj_r2_right-eaa99503db1372c0af1f497820300ed7f355a55b82fc22e27646e827e01fddc8.png	pro.tukkijamm.com/assets/demo/tkj_r2_right-eaa99503db1372c0af1f497820300ed7f355a55b82fc22e27646e827e01fddc8.png	(from https://pro.tukkijamm.com/demos/new)
15:00:51	4324/4324	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2015:00:50%20GMT	https://pro.tukkijamm.com/managers/password/new	pro.tukkijamm.com/managers/password/new.html	(from https://pro.tukkijamm.com/managers/sign_in)
15:00:52	1082039/1082039	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://pro.tukkijamm.com/assets/auth/login-47be6f852da4052dce9a1414abddd1cf8350b20bf90594928f4a60329a74d159.svg	pro.tukkijamm.com/assets/auth/login-47be6f852da4052dce9a1414abddd1cf8350b20bf90594928f4a60329a74d159.svg	(from https://pro.tukkijamm.com/managers/sign_in)
